City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lazaro cardenas,17.9583,-102.2,295.94,76,0,2.18,MX,1707017733
1,san julian,21.0167,-102.1667,283.94,28,0,3.14,MX,1707017932
2,isafjordur,66.0755,-23.124,268.33,89,99,9.05,IS,1707017933
3,waitangi,-43.9535,-176.5597,291.38,75,7,4.02,NZ,1707017934
4,adamstown,-25.066,-130.1015,298.58,77,100,2.32,PN,1707017934
5,santiago de veraguas,8.1,-80.9833,297.93,85,91,0.45,PA,1707017935
6,tolanaro,-25.0319,46.9987,297.19,83,20,8.23,MG,1707017935
7,eagle river,45.9172,-89.2443,271.06,73,0,0.0,US,1707017659
8,ushuaia,-54.8,-68.3,283.96,50,0,3.6,AR,1707017937
9,ilulissat,69.2167,-51.1,252.16,49,93,6.69,GL,1707017937
10,albany,42.6001,-73.9662,270.98,66,18,0.45,US,1707017894
11,puerto deseado,-47.7503,-65.8938,285.73,62,99,11.34,AR,1707017938
12,ancud,-41.8697,-73.8203,283.76,75,42,1.99,CL,1707017939
13,sola,-13.8833,167.55,303.52,79,100,0.0,VU,1707017940
14,longyearbyen,78.2186,15.6401,259.06,85,0,4.63,SJ,1707017940
15,mbandaka,0.0487,18.2603,295.83,87,98,1.35,CD,1707017941
16,fisterra,42.9049,-9.2629,283.16,69,10,2.0,ES,1707017941
17,uturoa,-16.7333,-151.4333,300.97,69,100,4.87,PF,1707017942
18,presidente epitacio,-21.7633,-52.1156,296.17,67,100,2.15,BR,1707017943
19,xilin hot,43.9667,116.0333,258.62,69,98,1.77,CN,1707017943
20,college,64.8569,-147.8028,234.87,64,20,0.0,US,1707017944
21,lata,40.1629,-8.3327,280.33,81,5,1.47,PT,1707017945
22,mount gambier,-37.8333,140.7667,306.33,21,25,1.83,AU,1707017765
23,kishapu,-3.6167,33.8667,292.38,91,99,2.1,TZ,1707017946
24,ust-nera,64.5667,143.2,250.95,95,100,2.19,RU,1707017946
25,port-aux-francais,-49.35,70.2167,279.45,88,96,10.08,TF,1707017947
26,metlili chaamba,32.2667,3.6333,278.67,65,0,1.54,DZ,1707017948
27,thompson,55.7435,-97.8558,273.24,100,100,2.57,CA,1707017948
28,waddan,29.1614,16.139,282.36,85,17,1.93,LY,1707017949
29,kodiak,57.79,-152.4072,274.88,93,100,3.6,US,1707017950
30,polyarnyy,69.1989,33.4478,266.83,85,100,8.57,RU,1707017950
31,reggane,26.7158,0.1714,285.46,46,1,6.23,DZ,1707017951
32,fiambala,-27.6871,-67.6149,298.46,46,95,0.29,AR,1707017952
33,edinburgh of the seven seas,-37.0676,-12.3116,289.25,76,39,12.34,SH,1707017952
34,al hamul,31.3115,31.1477,282.83,76,29,2.89,EG,1707017953
35,fale old settlement,-9.3852,-171.2468,301.39,81,100,9.28,TK,1707017954
36,la gi,10.6667,107.7833,302.97,55,8,4.19,VN,1707017954
37,badger,64.8,-147.5333,234.82,68,0,0.0,US,1707017955
38,karhula,60.5216,26.9313,270.53,94,87,5.13,FI,1707017956
39,novo aripuana,-5.1206,-60.3797,297.26,97,100,1.06,BR,1707017956
40,talnakh,69.4865,88.3972,258.82,95,100,4.53,RU,1707017957
41,kantharalak,14.6406,104.6499,306.19,43,5,3.47,TH,1707017958
42,komsomol'skiy,43.9783,46.6985,273.24,93,100,2.49,RU,1707017958
43,noumea,-22.2763,166.4572,303.14,89,100,6.16,NC,1707017959
44,jiangyou,31.7667,104.7167,281.68,60,45,2.37,CN,1707017959
45,grytviken,-54.2811,-36.5092,284.32,68,97,4.24,GS,1707017960
46,hurghada,27.2574,33.8129,286.17,44,0,3.6,EG,1707017961
47,klaksvik,62.2266,-6.589,275.66,75,97,15.02,FO,1707017961
48,kourou,5.1552,-52.6478,299.18,93,56,3.1,GF,1707017962
49,zhengjiatun,43.5064,123.5064,262.62,56,0,1.36,CN,1707017962
50,puerto ayora,-0.7393,-90.3518,297.9,99,15,3.58,EC,1707017963
51,pangody,65.85,74.4859,257.02,94,100,2.49,RU,1707017964
52,punta arenas,-53.15,-70.9167,283.21,71,100,5.14,CL,1707017964
53,lihue,21.9789,-159.3672,295.73,59,75,11.32,US,1707017919
54,blackmans bay,-43.0167,147.3167,288.22,83,100,3.54,AU,1707017965
55,st. john's,47.5649,-52.7093,272.97,93,100,8.94,CA,1707017943
56,whitehorse,60.7161,-135.0538,245.82,63,0,1.54,CA,1707017784
57,san juan de miraflores,-12.1629,-76.9635,299.36,74,94,2.48,PE,1707017967
58,bafq,31.6128,55.4107,278.58,29,0,1.77,IR,1707017968
59,fort st. john,56.2499,-120.8529,264.09,73,0,4.12,CA,1707017738
60,mount isa,-20.7333,139.5,305.02,51,100,9.77,AU,1707017969
61,mount pearl,47.5166,-52.7813,272.51,93,100,8.75,CA,1707017969
62,qaqortoq,60.7167,-46.0333,250.97,69,1,3.6,GL,1707017970
63,van buren,35.4368,-94.3483,284.16,93,100,2.57,US,1707017971
64,bethel,41.3712,-73.414,274.35,64,0,2.57,US,1707017971
65,iquique,-20.2208,-70.1431,295.17,75,9,1.97,CL,1707017972
66,hermanus,-34.4187,19.2345,295.82,87,34,1.65,ZA,1707017972
67,vila velha,-20.3297,-40.2925,297.56,97,75,1.03,BR,1707017973
68,walvis bay,-22.9575,14.5053,291.68,94,90,0.0,NA,1707017974
69,palasa,18.7667,84.4167,300.11,55,27,1.04,IN,1707017974
70,yellowknife,62.456,-114.3525,245.44,76,0,2.57,CA,1707017929
71,puerto natales,-51.7236,-72.4875,279.9,93,100,1.29,CL,1707017975
72,amuntai,-2.4177,115.2494,300.72,78,100,1.71,ID,1707017976
73,iqaluit,63.7506,-68.5145,247.42,68,0,5.14,CA,1707017851
74,kachia,9.8667,7.95,291.87,22,6,5.32,NG,1707017977
75,olonkinbyen,70.9221,-8.7187,267.33,68,100,8.35,SJ,1707017978
76,margaret river,-33.95,115.0667,292.51,45,66,7.38,AU,1707017978
77,kolonia,50.9333,6.95,283.74,90,75,7.2,DE,1707017979
78,norfolk,42.1668,-71.2495,272.96,62,17,0.89,US,1707017980
79,pandan,14.0453,124.1694,300.85,77,33,4.22,PH,1707017980
80,canico,32.6333,-16.85,291.5,84,20,3.6,PT,1707017981
81,bokhan,53.153,103.7714,259.88,81,100,2.39,RU,1707017982
82,yemva,62.59,50.8594,260.88,93,99,3.6,RU,1707017982
83,praia da vitoria,38.7333,-27.0667,289.13,88,20,5.36,PT,1707017983
84,kutum,14.2,24.6667,284.29,28,0,2.94,SD,1707017983
85,nemuro,43.3236,145.575,269.91,59,33,5.34,JP,1707017984
86,eyl,7.9803,49.8164,297.48,78,6,7.06,SO,1707017985
87,bredasdorp,-34.5322,20.0403,293.67,95,99,2.15,ZA,1707017985
88,ribeira grande,38.5167,-28.7,290.25,87,10,4.92,PT,1707017986
89,papatowai,-46.5619,169.4708,291.98,62,100,6.85,NZ,1707017986
90,christchurch,-43.5333,172.6333,302.82,41,4,6.17,NZ,1707017784
91,oakdale,44.963,-92.9649,272.39,86,0,1.79,US,1707017988
92,luwuk,-0.9516,122.7875,303.39,75,56,0.38,ID,1707017988
93,firuzabad,28.8438,52.5707,275.45,41,0,1.87,IR,1707017989
94,klyuchi,52.2667,79.1667,266.34,83,96,5.73,RU,1707017989
95,invercargill,-46.4,168.35,288.72,84,99,8.49,NZ,1707017991
96,la passe,45.5549,-0.8967,280.36,94,34,3.46,FR,1707017991
97,vila franca do campo,37.7167,-25.4333,291.42,99,92,3.62,PT,1707017992
98,sturgeon bay,44.8342,-87.377,271.37,93,0,1.54,US,1707017721
99,avarua,-21.2078,-159.775,303.18,74,8,3.09,CK,1707017993
100,kichmengskiy gorodok,59.9816,45.7854,253.68,100,96,1.34,RU,1707017994
101,hays,30.0502,-98.0336,288.2,58,5,3.85,US,1707017994
102,kapuskasing,49.4169,-82.4331,271.2,93,0,1.03,CA,1707017995
103,lorengau,-2.0226,147.2712,302.8,76,91,5.16,PG,1707017995
104,lompoc,34.6391,-120.4579,284.14,82,100,7.6,US,1707017791
105,akureyri,65.6835,-18.0878,268.11,93,100,1.54,IS,1707017996
106,mayqayyng,51.4625,75.7986,269.19,88,100,9.91,KZ,1707017997
107,west island,-12.1568,96.8225,298.14,94,100,3.09,CC,1707017998
108,georgetown,5.4112,100.3354,305.11,70,20,2.57,MY,1707017895
109,tazovsky,67.4667,78.7,258.46,94,100,2.76,RU,1707017999
110,koster,-25.863,26.8976,289.01,69,26,1.7,ZA,1707017999
111,hadibu,12.65,54.0333,297.88,74,57,4.32,YE,1707018000
112,ilha de mocambique,-15.0342,40.7358,298.97,89,77,2.89,MZ,1707018001
113,berdigestyakh,62.0989,126.6992,248.58,94,86,1.51,RU,1707018001
114,happy valley-goose bay,53.3168,-60.3315,245.32,83,20,1.54,CA,1707018002
115,morant bay,17.8815,-76.4093,298.94,73,0,2.1,JM,1707018003
116,kantagi,43.5264,68.5775,269.22,89,94,1.78,KZ,1707018003
117,petrolina,-9.3986,-40.5008,300.18,57,0,2.57,BR,1707017996
118,prado,-17.3411,-39.2208,297.57,90,84,1.74,BR,1707018005
119,carnarvon,-24.8667,113.6333,299.9,56,8,9.59,AU,1707018005
120,port mathurin,-19.6833,63.4167,299.55,61,7,4.77,MU,1707017951
121,geraldton,-28.7667,114.6,299.38,44,0,11.83,AU,1707017740
122,inverloch,-38.6333,145.7167,299.24,49,0,2.8,AU,1707018007
123,tondano,1.3038,124.9112,302.2,55,11,1.96,ID,1707018008
